Vendor Name,Author,Unnamed: 2
The Star Se18,thestarse18,
The Stars Inside,thestarsinside,
The Station Hotel,stationhotelhg,
The Store Croydon,the.store.croydon,
The Sunset Steam Express,thesunsetsteamexpress,
The Theodore Bullfrog,theodorebullfrog,
The Thomas Cubitt,thethomascubitt,
The Three Compasses,3compassese8,
The Three Crowns,threecrownsn16,
The Ticket Hall And Control Room,cahootslondon,
The Torridon,thetorridon,
The Trafalgar Arms,thetrafalgararms,
"The Two Brewers, Clapham",the2brewers,
The Union Bar Paddington,unionpaddington,
The Vaults,thevaultslondon,
The Victoria,thevictoriaw2,
The Victoria Surbiton,thevicsurbiton,
The View from The Shard,shardview,
The Wallace Collection,wallacemuseum,
The Washington,thewashingtonhampstead,
The Wedding Planners,thewedplanners,
The Whippet Inn,whippetinn,
The Whiskey Tumbler,thewhiskeytumbler,
The White Cross,thewhitecrosspub,
The White Hart,thewhitehartse1,
The White Hart Barnes,whitehart_barnes,
The White Horse,thewhitehorseec2,
The White Horse Parsons Green,whitehorsesw6,
"The Whitecross Tap, London",whitecross.tap,
The William Iv London – Kensal Green,wivlondon,
The Windmill Clapham,windmillclapham,
The Windmill Mayfair,windmill_pub,https://www.tripadvisor.co.uk/Search?q=The%20Windmill%20Mayfair&geo=186338
The Windmill Soho,windmillsoho,
The Wood House,thewoodhousepub,
The Wood Norton,thewoodnorton,
The Woolpack,woolpackbermondsey,
The World’S End,worldsendcamden,
The Yan at Broadrayne,yanatbroadrayne,
The Zetter Townhouse,zettertownhouse,
Theo Randall At The Intercontinental,theo.randall,
Thornbury Castle Hotel,thornburycastle,
Thorpe Park Resort,thorpeparkofficial,
Three Cranes,thethreecraneslondon,
Ticketmaster UK,ticketmasteruk,
Tigerbay Hanger Lane,tigerbayshishalounge,
Toca Social Greenwich,tocasocial,
Tonight Josephine Clapham,tonightjosephine,
Top Secret Comedy Club,topsecretcomedy,
Totally Wild UK,totallywilduk,
Tower of London,The Tower of London @TowerOfLondon,
Town Hall Hotel & Apartments,townhallhotel,
Town House,townhousekensington,
Townhouse,mytownhouseuk,
Trader Vic’S,tradervicsldn,
Trafalgar Tavern,trafalgartaverngreenwich,
Trapeze,trapezebar_basement,
Trattoria Brutto,bru.tto,
Trinity Arms,thetrinityarms,
Triyoga,triyogauk,
Tropix,tropix_ldn,
Truman Markets,trumanmarkets,
Truman’S Social Club,trumanssocialclub,
Tt Liquor,ttliquor,
Tupi Peckham,tupilondon,
Tuttons Restaurant,tuttonscoventgarden,
Twickenham Stadium,twickenhamstadium,
Two More Years,two_moreyears,
Two One Four,two1fourbermondsey,
Union Chapel Church,unichapelchurch,
Union Tavern,uniontavern,
Unity Diner,unitydiner,
"UNIVERSITY ARMS, Cambridge",university_arms,
Up at The O2,upattheo2,
Urban Golf Smithfield,urban_golf,
Urban Retreat,urban_retreat,
USHVANI SPA,ushvanispa,
Vagabond Battersea Power Station,vagabondwines,
Venn St. Records,vennstrcrds,
Victoria and Albert Museum,vamuseum,
Vinegar Yard,vinegaryardldn,
Vinoteca King’S Cross,vinotecawinefood,
Vintry & Mercer Hotel,vintryandmercer,
Visit Manchester,visitmanchester,
Visit Peak District & Derbyshire,visitpeakdistrict,
Visit Scotland,visitscotland,
